iter	Passed	Remaining
0	143	143027
1	145	72644
2	148	49272
3	150	37527
4	153	30624
5	157	26016
6	159	22650
7	162	20141
8	165	18172
9	168	16637
10	170	15367
11	173	14306
12	176	13393
13	179	12673
14	183	12020
15	185	11386
16	187	10837
17	189	10351
18	191	9913
19	194	9536
20	196	9167
21	198	8837
22	201	8553
23	203	8283
24	205	8027
25	209	7833
26	211	7631
27	214	7433
28	216	7247
29	218	7065
30	220	6907
31	222	6745
32	225	6597
33	227	6463
34	229	6336
35	231	6207
36	234	6093
37	238	6035
38	240	5928
39	242	5825
40	244	5726
41	247	5636
42	248	5532
43	250	5452
44	253	5373
45	255	5294
46	257	5226
47	260	5157
48	262	5098
49	264	5031
50	267	4978
51	269	4915
52	271	4856
53	274	4801
54	276	4752
55	278	4700
56	280	4647
57	283	4599
58	285	4554
59	287	4508
60	290	4464
61	292	4421
62	294	4379
63	296	4343
64	299	4303
65	301	4265
66	303	4224
67	304	4173
68	306	4136
69	308	4102
70	310	4063
71	312	4026
72	314	3992
73	316	3957
74	318	3922
75	319	3889
76	321	3859
77	323	3829
78	326	3802
79	327	3770
80	330	3744
81	331	3714
82	333	3686
83	335	3658
84	336	3623
85	338	3597
86	339	3565
87	341	3540
88	343	3517
89	345	3494
90	347	3474
91	349	3450
92	351	3427
93	353	3406
94	355	3388
95	358	3373
96	360	3353
97	361	3330
98	363	3308
99	365	3286
100	366	3265
101	367	3238
102	369	3218
103	371	3198
104	373	3182
105	375	3164
106	377	3148
107	378	3129
108	380	3113
109	383	3099
110	385	3087
111	387	3071
112	389	3054
113	390	3036
114	392	3019
115	393	3000
116	395	2983
117	397	2968
118	398	2949
119	400	2935
120	401	2920
121	403	2904
122	404	2884
123	406	2870
124	407	2855
125	410	2844
126	420	2888
127	421	2873
128	424	2865
129	426	2855
130	428	2845
131	430	2834
132	432	2821
133	434	2809
134	436	2797
135	438	2784
136	440	2772
137	441	2759
138	444	2751
139	446	2745
140	449	2735
141	450	2724
142	452	2713
143	454	2703
144	457	2697
145	460	2691
146	462	2682
147	464	2674
148	466	2666
149	468	2655
150	470	2646
151	473	2640
152	475	2631
153	477	2623
154	479	2613
155	481	2605
156	483	2596
157	485	2589
158	487	2581
159	490	2573
160	492	2565
161	494	2558
162	497	2552
163	499	2547
164	503	2545
165	505	2538
166	507	2531
167	509	2523
168	512	2518
169	514	2511
170	516	2503
171	518	2497
172	521	2492
173	523	2485
174	526	2480
175	528	2472
176	530	2464
177	532	2461
178	535	2454
179	537	2447
180	538	2437
181	541	2431
182	543	2424
183	545	2418
184	547	2411
185	549	2406
186	552	2400
187	554	2393
188	556	2387
189	558	2380
190	560	2374
191	562	2368
192	565	2366
193	568	2360
194	570	2353
195	572	2348
196	574	2342
197	576	2336
198	578	2329
199	580	2323
200	583	2317
201	584	2310
202	586	2303
203	588	2296
204	590	2289
205	592	2283
206	594	2278
207	596	2271
208	598	2264
209	600	2258
210	602	2251
211	604	2245
212	605	2239
213	607	2232
214	609	2226
215	611	2219
216	613	2212
217	615	2206
218	616	2200
219	619	2195
220	622	2192
221	624	2188
222	626	2182
223	628	2177
224	631	2176
225	635	2176
226	637	2171
227	639	2166
228	642	2162
229	644	2158
230	647	2154
231	650	2153
232	652	2148
233	655	2144
234	657	2140
235	659	2134
236	661	2129
237	663	2123
238	665	2118
239	667	2112
240	668	2105
241	670	2100
