iter	Passed	Remaining
0	134	134266
1	136	68297
2	138	46190
3	141	35229
4	143	28586
5	146	24188
6	148	21016
7	150	18635
8	152	16807
9	154	15331
10	157	14128
11	159	13140
12	161	12287
13	164	11568
14	166	10943
15	168	10357
16	170	9849
17	172	9427
18	175	9036
19	176	8664
20	178	8340
21	180	8033
22	182	7746
23	184	7507
24	186	7272
25	188	7059
26	190	6856
27	191	6663
28	193	6491
29	195	6326
30	197	6166
31	199	6022
32	200	5889
33	202	5758
34	204	5638
35	206	5526
36	208	5417
37	210	5319
38	211	5222
39	213	5134
40	215	5045
41	217	4959
42	219	4879
43	221	4805
44	223	4745
45	225	4682
46	227	4622
47	229	4561
48	232	4504
49	234	4447
50	235	4386
51	237	4333
52	239	4281
53	241	4232
54	243	4183
55	245	4133
56	247	4086
57	248	4041
58	250	4000
59	252	3958
60	254	3917
61	256	3876
62	258	3837
63	259	3796
64	261	3760
65	263	3725
66	264	3688
67	266	3655
68	268	3624
69	270	3598
70	272	3567
71	274	3536
72	276	3514
73	278	3484
74	280	3456
75	282	3432
76	284	3404
77	285	3378
78	287	3352
79	289	3326
80	291	3302
81	292	3277
82	293	3245
83	295	3223
84	297	3199
85	299	3180
86	300	3157
87	302	3133
88	303	3110
89	305	3088
90	306	3065
91	308	3045
92	310	3025
93	311	3003
94	313	2985
95	314	2966
96	316	2945
97	317	2926
98	319	2908
99	321	2889
100	323	2876
101	324	2859
102	326	2841
103	327	2825
104	329	2808
105	330	2791
106	332	2776
107	334	2759
108	335	2743
109	337	2730
110	339	2715
111	340	2700
112	342	2686
113	343	2672
114	345	2657
115	346	2643
116	348	2629
117	351	2626
118	353	2614
119	354	2600
120	356	2588
121	357	2574
122	359	2561
123	361	2550
124	363	2541
125	365	2531
126	366	2519
127	368	2507
128	369	2495
129	371	2485
130	372	2473
131	374	2462
132	376	2452
133	377	2441
134	379	2430
135	381	2421
136	382	2410
137	384	2399
138	385	2389
139	387	2378
140	388	2368
141	390	2356
142	391	2346
143	392	2336
144	394	2327
145	396	2318
146	397	2308
147	399	2300
148	401	2291
149	402	2283
150	405	2277
151	407	2272
152	409	2264
153	411	2258
154	413	2252
155	415	2249
156	417	2243
157	419	2235
158	421	2230
159	423	2223
160	425	2215
161	427	2211
162	429	2204
163	431	2198
164	433	2191
165	434	2184
166	436	2177
167	437	2168
168	439	2162
169	441	2155
170	442	2147
171	444	2141
172	446	2133
173	447	2125
174	449	2118
175	450	2111
176	452	2103
177	454	2097
178	455	2090
179	457	2083
180	458	2076
181	460	2069
182	461	2062
183	463	2056
184	465	2049
185	467	2047
186	469	2041
187	470	2034
188	472	2028
189	474	2022
190	475	2015
191	477	2009
192	479	2003
193	480	1997
194	482	1992
195	484	1985
196	485	1979
197	487	1974
198	488	1967
199	490	1961
200	492	1956
201	493	1950
202	495	1943
203	496	1938
204	498	1932
205	499	1926
206	501	1920
207	502	1914
208	504	1908
209	505	1903
210	507	1897
211	508	1891
212	510	1887
213	512	1881
214	513	1875
215	515	1870
216	516	1864
217	518	1858
218	520	1854
219	521	1849
220	523	1844
221	524	1839
222	526	1834
223	527	1828
224	529	1824
225	531	1819
226	532	1814
227	534	1809
228	536	1805
229	537	1799
230	539	1795
231	540	1790
232	542	1785
233	543	1780
234	545	1775
235	547	1771
236	549	1768
237	550	1763
238	552	1757
239	553	1753
240	555	1748
241	556	1743
242	558	1738
243	559	1734
244	561	1730
245	563	1726
246	564	1721
247	566	1716
248	567	1713
249	569	1708
250	570	1703
251	572	1699
252	574	1696
253	575	1691
254	577	1687
255	579	1683
256	580	1678
257	582	1674
258	583	1670
259	585	1665
260	587	1662
261	589	1659
262	590	1654
263	592	1651
264	593	1647
265	595	1642
266	596	1638
267	598	1634
268	600	1630
269	602	1628
270	603	1624
271	605	1619
272	606	1616
273	608	1612
274	609	1607
275	611	1604
276	613	1601
277	615	1598
278	616	1594
279	618	1590
280	620	1586
281	621	1583
282	623	1578
283	624	1575
284	626	1572
285	628	1568
286	630	1566
287	632	1562
288	633	1559
289	635	1555
290	637	1552
291	638	1548
292	640	1545
293	642	1542
294	644	1540
295	646	1536
296	647	1532
297	649	1529
298	650	1526
299	653	1524
300	655	1521
301	656	1518
302	658	1515
303	660	1511
304	662	1509
305	664	1506
306	665	1502
307	667	1500
308	669	1496
309	670	1493
310	672	1490
311	674	1486
312	675	1483
313	677	1480
314	679	1476
315	680	1473
316	682	1470
317	683	1466
318	685	1463
319	687	1460
320	688	1456
321	690	1453
322	692	1450
323	693	1447
324	695	1444
325	697	1441
326	698	1437
327	700	1435
328	702	1432
329	703	1428
330	705	1425
331	707	1422
332	708	1419
333	710	1417
334	712	1414
335	714	1411
336	715	1408
337	717	1405
338	719	1402
339	721	1399
340	722	1396
341	724	1394
342	726	1391
343	727	1387
344	729	1385
345	731	1383
346	733	1380
347	734	1376
348	736	1373
349	737	1370
350	739	1367
351	741	1364
352	742	1360
353	744	1357
354	745	1354
355	747	1351
356	748	1348
357	750	1345
358	751	1342
359	753	1339
360	754	1336
361	756	1332
362	757	1330
363	759	1327
364	761	1324
365	762	1321
366	764	1318
367	765	1315
